timestamp,run_tag,run_idx,data_id,data_src,file_path,label_path,model_type,model_id,feature_mode,bypass_encoder,residualize_flag,probe_degree_flag,n_hidden,n_layers,n_dgi_epochs,n_classifier_epochs,feat_mean,feat_std,spearman_deg_label,probe_R2_logdeg,probe_acc_deg_quartile,acc_Z,acc_Z_perp,acc_drop,baseline_deg_bin
2025-09-21 18:11:58,normal,53,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8128429404124203,0.990401566028595,1.0,0.6375,,,0.6
2025-09-21 18:14:52,normal,54,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8180104360595013,0.993992269039154,1.0,0.5625,,,0.5625
2025-09-21 18:18:10,normal,55,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.816152916311211,0.990770697593689,0.9849624037742615,0.5625,,,0.55
2025-09-21 18:20:30,normal,56,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8386754587032255,0.9903144836425781,1.0,0.6,,,0.625
2025-09-21 18:23:34,normal,57,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8132546043906697,0.9950446486473083,1.0,0.5625,,,0.575
2025-09-21 18:27:31,normal,58,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7572386070256986,0.9936267733573914,1.0,0.5125,,,0.4125
2025-09-21 18:31:04,normal,59,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.83346567059668,0.9922182559967041,1.0,0.6125,,,0.5625
2025-09-21 18:33:43,normal,60,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.819223250652895,0.9935839176177979,1.0,0.5875,,,0.6
2025-09-21 18:36:43,normal,61,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7766170830584794,0.9876470565795898,0.9849624037742615,0.55,,,0.475
2025-09-21 18:38:59,normal,62,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7681915814109535,0.9930416345596313,1.0,0.5,,,0.525
2025-09-21 18:41:33,normal,63,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8178271502592794,0.9930846095085144,1.0,0.625,,,0.5125
2025-09-21 18:43:20,normal,64,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8018544090409475,0.9937859773635864,1.0,0.6125,,,0.525
2025-09-21 18:46:12,normal,65,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.705681695510441,0.9933897852897644,1.0,0.5375,,,0.5
2025-09-21 18:48:59,normal,66,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7825855969273143,0.9908797740936279,1.0,0.5375,,,0.475
2025-09-21 18:50:38,normal,67,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7369394716654633,0.9928815960884094,1.0,0.5,,,0.45
2025-09-21 18:52:09,normal,68,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7855604122677764,0.9926776885986328,1.0,0.625,,,0.5
2025-09-21 18:54:27,normal,69,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8189830078184552,0.9936670660972595,1.0,0.55,,,0.5375
2025-09-21 18:56:14,normal,70,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7664603207135612,0.9933933019638062,1.0,0.5875,,,0.5125
2025-09-21 18:57:52,normal,71,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7218658603357322,0.9946959614753723,1.0,0.6,,,0.4625
2025-09-21 18:59:50,normal,72,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7472923216428359,0.9931080341339111,1.0,0.5375,,,0.55
2025-09-21 19:01:15,normal,73,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8086735349274815,0.9938170313835144,1.0,0.6125,,,0.5375
2025-09-21 19:02:51,normal,74,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7382649774895321,0.9931182265281677,1.0,0.55,,,0.5
2025-09-21 19:05:07,normal,75,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7931374749399931,0.989623486995697,1.0,0.55,,,0.5
2025-09-21 19:06:59,normal,76,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.736126466992842,0.9935007691383362,1.0,0.5375,,,0.4
2025-09-21 19:08:10,normal,77,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8654276366824705,0.97630375623703,0.9824561476707458,0.6875,,,0.6375
2025-09-21 19:10:06,normal,78,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7497755027060911,0.9920531511306763,1.0,0.5625,,,0.525
2025-09-21 19:12:20,normal,79,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.848488286385726,0.9928475618362427,1.0,0.5875,,,0.5625
2025-09-21 19:14:09,normal,80,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8051962477475646,0.9927169680595398,1.0,0.55,,,0.5625
2025-09-21 19:16:04,normal,81,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7481776594202936,0.9922386407852173,1.0,0.55,,,0.525
2025-09-21 19:18:04,normal,82,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.838154700030679,0.9905343055725098,1.0,0.5375,,,0.525
2025-09-21 19:19:19,normal,83,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7861226971030517,0.9936657547950745,1.0,0.575,,,0.55
2025-09-21 19:20:47,normal,84,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7641953408333088,0.9935440421104431,1.0,0.6125,,,0.5
2025-09-21 19:23:13,normal,85,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8072402113570607,0.99305260181427,1.0,0.5625,,,0.6375
